Scenario,TID,Test Data,Test Case Description,Pre-Condition,Test Steps,Expected Result,Actual Result,Status,Executed By (QA Name),Misc (Comments),Priority,Is Automated
Social Login,TC-016,Google account; user cancels the Google consent prompt,Verify Google login handles a cancelled consent,Google account exists; VWO login page is loaded,1. Open app.vwo.com 2. Click 'Sign in with Google' 3. Cancel/decline the Google consent prompt,Login is aborted gracefully; user remains on the VWO login page with no error or partial state,,,,Requirement(s): FR-INT-05; FR-ERR-02,Low,No
Passkey Login,TC-017,Device with a registered passkey,Verify login via 'Sign in with Passkey' (UI element visible in screenshot),Passkey is registered on the device; VWO login page is loaded,1. Open app.vwo.com 2. Click 'Sign in with Passkey' 3. Complete the platform passkey prompt (fingerprint/Face ID/PIN),User is authenticated with the passkey and redirected to the Home Page,,,,Requirement(s): FR-UX-08,Low,No
Password Management,TC-018,Registered email ID,Verify 'Forgot Password?' flow sends a password reset email,User account exists; VWO login page is loaded,1. Open app.vwo.com 2. Click 'Forgot Password?' 3. Enter the registered email ID 4. Submit the reset request,A password reset email with a secure token is sent to the registered email; reset instructions are shown,,,,Requirement(s): FR-PASS-01; FR-PASS-02,High,No
Password Management,TC-019,Registered email ID; reset link opened,Verify password reset via the emailed secure token,Password reset email received; reset link/token valid,1. Open the reset email 2. Click the reset link/token 3. Enter a new password meeting the policy 4. Confirm and submit,Password is reset successfully; the user can log in with the new password,,,,Requirement(s): FR-PASS-01; FR-PASS-03,High,No
Password Management,TC-020,New password with only 9 characters (policy requires minimum 10),Verify password policy rejects passwords shorter than 10 characters,User is on the password reset/creation screen,1. Initiate password change/reset 2. Enter a 9-character password 3. Submit,"Password is rejected with a policy validation message (alphanumeric, 1 special character, 1 numeric digit, minimum 10 characters)",,,,Requirement(s): FR-PASS-03; FR-VALID-03,High,No
Password Management,TC-021,"New password with no special character (e.g., 'Alpha12345')",Verify password policy rejects passwords without a special character,User is on the password reset/creation screen,1. Initiate password change/reset 2. Enter a password without any special character 3. Submit,Password is rejected with a policy validation message (special character required),,,,Requirement(s): FR-PASS-03; FR-VALID-03,High,No
Password Management,TC-022,"New password with no numeric digit (e.g., 'Alpha@beta')",Verify password policy rejects passwords without a numeric digit,User is on the password reset/creation screen,1. Initiate password change/reset 2. Enter a password without any numeric digit 3. Submit,Password is rejected with a policy validation message (numeric digit required),,,,Requirement(s): FR-PASS-03; FR-VALID-03,High,No
Password Management,TC-023,"New password meeting all policy rules (e.g., 'Alpha@12345')",Verify password policy accepts a compliant alphanumeric password,User is on the password reset/creation screen,"1. Initiate password change/reset 2. Enter a password with letters, at least 1 special character, at least 1 digit and minimum 10 characters 3. Submit",Password is accepted; the password is updated and the user can log in with it,,,,Requirement(s): FR-PASS-03; FR-VALID-03,High,No
Account Lockout,TC-024,Valid email ID + incorrect password repeated 3 times within 24 hours,Verify account lockout after 3 failed login attempts in 24 hours,User account exists; VWO login page is loaded; failed attempt counter starts at 0,1. Open app.vwo.com 2. Enter a valid email ID with an incorrect password 3. Click 'Sign in' (repeat a total of 3 times within 24 hours),"After the 3rd consecutive failed attempt, the account is locked for 24 hours; further login attempts are blocked with a lockout message",,,,Requirement(s): FR-PASS-04,High,No
Account Lockout,TC-025,Locked account; correct password entered before the 24-hour window elapses,Verify a locked account cannot log in with the correct password,Account has reached 3 failed attempts within 24 hours and is locked,1. Open app.vwo.com 2. Enter the correct email ID and password for the locked account 3. Click 'Sign in',Login is blocked while the account is locked; a lockout/error message is displayed,,,,Requirement(s): FR-PASS-04; FR-ERR-02,Medium,No
Registration,TC-026,No existing account (new user),Verify 'Start a FREE TRIAL' navigates to the free trial signup path,VWO login page is loaded,1. Open app.vwo.com 2. Click 'Start a FREE TRIAL',"User is taken to the free trial signup flow with minimal friction, as described in the PRD",,,,Requirement(s): FR-UX-10,Medium,No
Registration,TC-027,No existing account (new user),Verify the free trial signup path is reachable from the login page,VWO login page is loaded,1. Open app.vwo.com 2. Observe the login page for the trial call-to-action 3. Click the trial CTA,A clear call-to-action for free trial signup is visible on the login page and opens the signup flow,,,,Requirement(s): FR-UX-10; FR-UX-11,Low,No
Legal Links,TC-028,Login page footer,Verify 'Privacy policy' link on the login page,VWO login page is loaded,"1. Open app.vwo.com 2. Scroll to the footer text 'By continuing, you agree to VWO's Privacy policy & Terms.' 3. Click 'Privacy policy'",The VWO Privacy policy page opens in a new tab/window,,,,Requirement(s): FR-LEGAL-01,Low,No
Legal Links,TC-029,Login page footer,Verify 'Terms' link on the login page,VWO login page is loaded,"1. Open app.vwo.com 2. Scroll to the footer text 'By continuing, you agree to VWO's Privacy policy & Terms.' 3. Click 'Terms'",The VWO Terms page opens in a new tab/window,,,,Requirement(s): FR-LEGAL-01,Low,No
UI/UX,TC-030,Login page load,Verify auto-focus lands on the first input field,VWO login page is loaded,1. Open app.vwo.com 2. Observe the focus state on page load,The first input field (email) receives automatic focus on page load,,,,Requirement(s): FR-UX-02,Low,No
UI/UX,TC-031,Login form labels,Verify form labels are clickable,VWO login page is loaded,1. Open app.vwo.com 2. Click on the 'Email'/'Password' label text 3. Observe the focused field,Clicking a form label focuses the corresponding input field,,,,Requirement(s): FR-UX-03,Low,No
UI/UX,TC-032,Login page; 120-second idle period,Verify session timeout of 120 seconds for an idle session,User is logged in; the session is idle,1. Log in successfully 2. Leave the session idle for 120 seconds 3. Attempt an action,The session expires after 120 seconds of inactivity (configurable timeout per PRD),,,,Requirement(s): NFR-SEC-04; FR-LOGIN-02,Medium,No
UI/UX,TC-033,Login page; product announcement banner,Verify the new UI announcement banner with Light and Dark Mode options is displayed,VWO login page is loaded,1. Open app.vwo.com 2. Observe the announcement banner 3. Interact with the Light/Dark Mode options,The announcement banner for the new UI with Light and Dark Mode options is displayed on the login page,,,,Requirement(s): FR-UX-07; FR-UX-12,Low,No
Validation,TC-034,Valid email ID + password exceeding 20 characters,Verify field length limit of 20 characters is enforced,VWO login page is loaded,1. Open app.vwo.com 2. Enter an email ID or password longer than 20 characters 3. Observe input behavior,Input is restricted to a maximum of 20 characters (field length limit per PRD),,,,Requirement(s): FR-VALID-04,Medium,No
Error Handling,TC-035,Incorrect credentials; login error state,Verify clear and actionable error messages for failed authentication,VWO login page is loaded; user account exists,1. Open app.vwo.com 2. Enter invalid credentials 3. Click 'Sign in' 4. Observe the error message,"A clear, actionable error message ('Invalid Username or Password') is displayed for the failed authentication attempt",,,,Requirement(s): FR-ERR-01; FR-ERR-02,High,No
Success Confirmation,TC-036,Valid credentials,Verify clear indication of successful login,User account exists and is active; VWO login page is loaded,1. Open app.vwo.com 2. Enter valid credentials 3. Click 'Sign in' 4. Observe the post-login state,Successful login is clearly indicated by the transition to the Home Page (dashboard),,,,Requirement(s): FR-ERR-03,Medium,No
